Skill,client_location,fixed_price,experience,project_type
"Traditional Style,Realistic,Watercolor,Charcoal Illustration,Gouache,Pencil Illustration,Adobe Illustrator,Line Drawing,Graphic Design,Adobe Photoshop,Illustration,Concept Artistry,Drawing,Contemporary,Minimal",United States,8000.0,Entry level,Ongoing project
"Latin American English Accent,Latin American Spanish Accent,Spanish,US English Dialect,Live Interpreter,Customer Service,Communications,Interpretation,Castilian Spanish,English to Spanish Translation,English,simultaneous interpretation,consecutive interpretation,Spanish to English Interpretation,Onsite,Remote Interpretation,Onsite Interpretation",India,8000.0,Expert,Ongoing project
"English,English Tutoring,ESL Teaching,Teaching English",Canada,8000.0,Intermediate,One-time project
"Content Writing,Copywriting,Content Marketing Strategy,Research,SEO,Website Content,Product Page,About Us Page,Article,Blog Content,White Paper,Social Media Content,English,SEO Writing,Article Writing,Blog Writing,article jobs,Creative Writing,Writing",Israel,5.0,Intermediate,Ongoing project
Robotics,Germany,2000.0,Expert,Ongoing project
"Graphic Design,Illustration",United States,8000.0,Intermediate,Ongoing project
"Copywriting,Website Content,English,Landing Page,Content Writing,SEO",United States,8000.0,Intermediate,Complex project
"Social Media Marketing,Influencer Marketing",United States,8000.0,Expert,One-time project
"Character Design,Animation,Voxel,MagicaVoxel",Canada,400.0,Intermediate,One-time project
"API,Amazon Web Services,Amazon API Gateway,API Development,API Integration",United Kingdom,8000.0,Intermediate,Complex project
"Data Entry,Microsoft Excel,Google Docs,Microsoft Word,Email Communication",United States,8000.0,Expert,One-time project
"Altova MapForce,EDIFACT,cXML,EANCOM,XSLT",Germany,8000.0,Intermediate,Complex project
"Lead Generation,Interpersonal Skills,Research",Canada,8000.0,Intermediate,Ongoing project
"Adobe Premiere Pro,Adobe After Effects,Video Editing,Video Production",United States,8000.0,Entry level,Ongoing project
"Data Entry,Data Scraping,Data Mining,List Building,Research,Lead Generation,Prospect List",Canada,8000.0,Entry level,One-time project
"Education,Consumer Goods,eCommerce,Fashion,Gaming,Government,Real Estate,Retail,SaaS,Technology,Arts,Automotive,Nonprofit Organization,Wholesale,Construction,Business Services,Mobile Apps,Manufacturing,Medical,Finance,Legal Services,HubSpot,CRM,Lead Generation,Sales,Marketing Automation,Email Marketing,Automation",United States,8000.0,Intermediate,Complex project
"Data Entry,Virtual Assistant,Virtual Assistance,Research",France,5.0,Entry level,One-time project
"Machine Learning Model,Databricks,Python,Machine Learning,Natural Language Processing,Data Science",Israel,8000.0,Expert,One-time project
"Data Entry,Email Marketing,HubSpot,Retail,Lead Generation,List Building,Outbound Sales,Prospect List",Poland,8000.0,Intermediate,One-time project
"Social Media Marketing,Administrative Support,Social Media Management",Canada,20.0,Entry level,Ongoing project
"Web Application,Map Integration,Google Map Maker,Interaction Design,Web Programming",Singapore,1200.0,Expert,Ongoing project
"Web Design,Adobe XD",United Kingdom,8000.0,Expert,Ongoing project
"Video Editing,Final Cut Pro X,Video Production,Graphic Design,Adobe After Effects,Videography",Australia,8000.0,Expert,Ongoing project
"Kubernetes,PHP,DevOps,System Administration,SSL,Ingress,digital ocean",India,300.0,Intermediate,One-time project
"JavaScript,Data Scraping,Chrome Extension,Google Maps API,HTML,CSS",French Southern and Antarctic Lands,300.0,Entry level,One-time project
"API Integration,Custom PHP,WordPress Plugin,Responsive Design,Web Design,AJAX,Java,XQuery,JavaScript,CSS,API,jQuery,PHP,WordPress",South Korea,50.0,Intermediate,One-time project
"Figma,User Experience Design,Wireframing,User Interface Design",United States,150.0,Intermediate,Ongoing project
"Apache Spark,Pyspark,Python,Apache Hadoop",Russia,8000.0,Intermediate,One-time project
"Social Media Marketing,Social Media Management,Instagram,Facebook,Creative Writing",Canada,8000.0,Expert,Ongoing project
"Content Writing,Research,Medical,English",Australia,8000.0,Intermediate,Ongoing project
"Social Media Management,Social Media Marketing,Content Writing,Instagram,Facebook,Social Media Content Creation,Content Strategy,Social Media Content",United Kingdom,8000.0,Intermediate,Ongoing project
"Presentation Design,Business Presentation,Microsoft PowerPoint,Graphic Design",Canada,8000.0,Intermediate,One-time project
"Data Visualization,JavaScript,CSS,HTML",United States,8000.0,Expert,One-time project
"QGIS,ArcGIS,Web Design,Web Programming,Georeferencing,Autodesk AutoCAD,ability to use shape files from my Tremble GPS and be able to take your data and make shape files that will work with my Tremble GPS",United States,8000.0,Expert,One-time project
"ArcGIS,Digital Mapping,ArcGIS Online,Google Maps API",United States,8000.0,Intermediate,One-time project
"AngularJS,Custom PHP,Web Application,SVG Editor,JS Library,Flowchart Infographic,JavaScript",United States,250.0,Expert,Ongoing project
Shopify,United States,100.0,Expert,Ongoing project
"ArcGIS,Google Maps API,Autodesk AutoCAD,Android,iOS,Georeferencing",South Africa,8000.0,Expert,Ongoing project
"Architectural Rendering,Photorealistic Rendering,Product Rendering",United States,50.0,Expert,One-time project
"Adobe Photoshop,Adobe Premiere Pro,Autodesk Maya,Toon Boom Harmony,NUKE,Adobe After Effects,Final Cut Pro,Moho,Graphic Design,Motion Graphics,Adobe Animate,Illustration,Animation,Adobe Illustrator",Sweden,8000.0,Intermediate,Ongoing project
"Android,Phone,Android App Development,iOS,iOS Development,Mobile App Development,JavaScript,Java,Data Entry",India,12.0,Entry level,Ongoing project
"Prototype,Mockup,User Research,Usability Testing,Journey Mapping,Web Design,Graphic Design,User Flows,Style Guide,Mobile App Design,Responsive Design",United States,500.0,Expert,One-time project
"Digital Mapping,Presentation,Tableau,Google Maps API,Digital Mapping",Australia,8000.0,Intermediate,One-time project
Adobe Illustrator,Denmark,8000.0,Intermediate,One-time project
"English,Voice Over,US English Dialect",China,22.0,Entry level,One-time project
"Android,imap,rich text editor",United States,500.0,Intermediate,One-time project
"Chart of Accounts,Quickbooks,Intuit QuickBooks,Technical Accounting,Accounting Software",United States,8000.0,Expert,One-time project
"Lifestyle,English,Copywriting,Website Content,Content Writing,SEO,Website Copywriting,Marketing,Branding,Storytelling",United States,8000.0,Intermediate,Ongoing project
"HubSpot,API,JavaScript,Landing Page,Microsoft Power BI Development,Microsoft Power BI,Web Programming",Australia,8000.0,Intermediate,Complex project
"Product Photography,Photo Editing",United Kingdom,8000.0,Expert,One-time project
"Data Entry,Virtual Assistant,Research,List Building",New Zealand,8000.0,Intermediate,One-time project
"Web Design,Responsive Design,Prototype,Mockup,Figma",United States,8000.0,Intermediate,Ongoing project
"Web Design,Responsive Design,Mockup,Prototype,User Flows,Journey Mapping,Figma",United States,8000.0,Expert,Complex project
"Brand Identity Design,Graphic Design",Pakistan,8000.0,Entry level,One-time project
"Virtual Assistant,Customer Service,Customer Satisfaction,Scheduling,Task Coordination",United States,8000.0,Expert,Ongoing project
"Business Applications Consultation,Software Developer,ERP Software,Construction,Odoo,Python,PostgreSQL,Web Programming",Switzerland,8000.0,Intermediate,Ongoing project
"WooCommerce,PayPal,Startup Company,WordPress,Web Programming,WordPress Plugin,CSS",United States,8000.0,Intermediate,Ongoing project
"JavaScript,CartoDB,React,Redux",United States,8000.0,Expert,One-time project
"Research,Product Descriptions,Script,Blog Content,Social Media Content,Copywriting,Content Writing",United States,8000.0,Intermediate,One-time project
"Database Design,API Integration,CRM,SQL,ASP,Microsoft Excel,API,PHP,Python,JavaScript",Saudi Arabia,400.0,Intermediate,Ongoing project
"Phone,Unity,Game Design,Game Development",Qatar,8000.0,Intermediate,One-time project
"Google Analytics,Business Services,SEO Keyword Research,SEO Backlinking,SEO,SEO Performance",Spain,100.0,Intermediate,One-time project
"Copywriting,Technology,Business Writing",Canada,8000.0,Intermediate,One-time project
WordPress,Canada,3000.0,Intermediate,Complex project
"Automation,Dashboard,Data Extraction,Data Mining,Scripting,Web Crawling",United States,8000.0,Intermediate,One-time project
"Traditional Style,Poster,Adobe Photoshop,Graphic Design",United States,8000.0,Intermediate,One-time project
"Jira,Atlassian JIRA,Project Management Capability,Project Scheduling,Project Plan,Release planning,Resource Allocation",United States,8000.0,Intermediate,Complex project
German,India,20.0,Entry level,Ongoing project
"Graphic Design,Layout Design",United States,8000.0,Expert,Complex project
"Microsoft Power BI,Dashboard",Germany,50.0,Entry level,One-time project
"English to Dutch Translation,Dutch,Translation",France,20.0,Entry level,One-time project
"MongoDB,Python,Jenkins,Git,Ubuntu,Deployment Automation,Infrastructure Management,DevOps,Kubernetes,Elasticsearch,Zato",United States,8000.0,Intermediate,Ongoing project
"Phone,User Profile Creation,Casual Game,Education,Game Design Document,Game Consultation,Graphic Design,Game Design,Illustration,Prototype,Mobile App Design,iOS,Android",India,8000.0,Expert,Complex project
"Adobe Illustrator,Illustration,Geometric Pattern,Geometry",United States,8000.0,Entry level,One-time project
"Logo Design,Graphic Design,Adobe Illustrator,Adobe After Effects",United States,100.0,Expert,One-time project
"Reddit Marketing,Forum Moderation,Forum Posting,soial media,Reputation Management,Public Relations",Canada,8000.0,Intermediate,Ongoing project
"Website,WordPress,Web Design,Landing Page,Graphic Design,CSS,HTML",United States,8000.0,Intermediate,One-time project
"Computer Vision,Network Analysis",United States,8000.0,Intermediate,One-time project
"Microsoft PowerPoint,Business Intelligence,Presentation Design,Presentation,Data Visualization",United States,8000.0,Expert,One-time project
"Evernote,Measure Map,Pasture Pro",Australia,250.0,Intermediate,Ongoing project
"Instructional Design,Energy,Program Curriculum,Curriculum Design",United States,8000.0,Intermediate,Ongoing project
"Writing,Creative Writing,English,Content Writing",Latvia,40.0,Expert,One-time project
"Web Design,Web Programming,Google Maps API,JavaScript,PHP",United States,1500.0,Expert,Complex project
"Banner Ad Design,Landing Page,Social Media Imagery,Logo Design,Email Communication,Advertising Design,Brand Identity Design,Cover Art Design,Adobe Illustrator,Adobe Acrobat,Microsoft PowerPoint,Graphic Design,Social Media Marketing,Facebook,Web Design,Adobe InDesign",New Zealand,8000.0,Intermediate,One-time project
"Dashboard,Data Visualization,Microsoft Power BI,ArcGIS,Microsoft Excel",United Kingdom,150.0,Intermediate,One-time project
"Illustration,Research,Real Estate,Photo Manipulation",United States,8000.0,Intermediate,One-time project
"Template Markup,Visualization,WordPress Website,Web Application,Website Redesign,Responsive Design,TypeScript,jQuery,AJAX,WordPress,JavaScript,PHP,CSS,HTML,Web Programming,API,Web Design",South Korea,50.0,Intermediate,One-time project
"Kernel,Linux,Driver Development",Italy,8000.0,Expert,Ongoing project
"WordPress,PHP",Germany,5.0,Entry level,One-time project
"Python,Vanilla,three.js,WebGL",Slovakia,500.0,Intermediate,One-time project
"Graphic Design,Motion Graphics",United Arab Emirates,200.0,Intermediate,One-time project
"Technical SEO,SEO,WordPress",United Kingdom,8000.0,Expert,One-time project
"Python,OpenLayers,Django,React",Ethiopia,50.0,Entry level,One-time project
"Digital Illustration,Illustration,Character Design,Adobe Illustrator,illustration roadmap,Drawing",Australia,8000.0,Expert,Ongoing project
"SketchUp,Illustration,Architectural Design,Autodesk AutoCAD",United States,50.0,Expert,One-time project
"Data Scraping,Data Extraction,APify",United Kingdom,8000.0,Intermediate,One-time project
Advertising networks,Puerto Rico,8000.0,Expert,Ongoing project
"SEO Keyword Research,SEO Audit,SEO,SEO Performance",United States,8000.0,Expert,Ongoing project
"eBook,English,eBook Design,Proofreading,Editing,Writing,Digital Publication,eBook Writing,Content Writing,Graphic Design",United States,8000.0,Intermediate,One-time project
"Virtual Assistance,Email Communication,Media Relations,Public Relations,Podcast,Communications",United States,8000.0,Intermediate,Ongoing project
"Animation,Unreal Engine",Greece,8000.0,Expert,Ongoing project
"Leaflet,Node.js,React,Web Application,Web Design,JavaScript,PHP,HTML,CSS,Mapbox,Shopify,Shopify Apps,Geoserver,Liquid",Netherlands,8000.0,Intermediate,Complex project
"Alaska Bar Association,Finance,SEC Regulations,Legal Services,Cryptocurrency,financial law,Financial Disclosures",United States,3000.0,Expert,Ongoing project
"Google Maps API,Google APIs,PHP,JavaScript",Pakistan,1000.0,Intermediate,Ongoing project
"Firebase,React Native,JavaScript,Google Maps API",South Africa,200.0,Entry level,One-time project
"Tablet,Gaming Console,Smart Watch,PC,Hybrid,iOS,Puzzle,Prototype,Game Development,Mobile Game,Unity,Game Design,Android,Game Design Document,Phone",India,1500.0,Expert,Ongoing project
"Pixel Art,Graphic Design,Animation,Adobe Illustrator,Illustration",Australia,60.0,Intermediate,One-time project
"Article,Blog Content,SEO,Research,Portuguese,English,Brazilian Portuguese Dialect,Article Writing,Proofreading,Editing,Writing,Creative Writing,SEO Writing,Blog Writing,Marketing Strategy,English to Brazilian Portuguese Translation",Hong Kong,80.0,Expert,Ongoing project
Graphic Design,United States,100.0,Intermediate,One-time project
"WordPress,Mapbox,JavaScript,Map Integration,PHP,API,Android,iOS,Web Application",United States,8000.0,Expert,Ongoing project
"Content Writing,Research,Writing,Marketing Research,Data Entry,Article Writing,Copywriting",France,8000.0,Intermediate,One-time project
"Communications,Virtual Assistant,Customer Service,Sales,Lead Generation,Telemarketing",United States,8000.0,Intermediate,One-time project
"nft,Cartoon,Character Design",Germany,350.0,Expert,Complex project
"Copywriting,Content Writing,Website Content,Marketing",United States,8000.0,Intermediate,One-time project
"JavaScript,Prototype,Information Architecture,Components Design,Software Design",Canada,8000.0,Intermediate,Ongoing project
"Technical Writing,API Documentation,Technical Documentation,English,WordPress,PHP,API",Bahrain,8000.0,Intermediate,Ongoing project
"Immigration Law,Green Cards,Work Visas,Immigration Documents,Legal Services,Legal",United States,1000.0,Intermediate,Ongoing project
"Lucidpress,Graphic Design",United States,8000.0,Intermediate,Ongoing project
"Adobe Photoshop,Photo Editing,Image Editing",Israel,15.0,Intermediate,One-time project
"API Integration,bubble",India,350.0,Intermediate,One-time project
"Data Entry,Product Management,Google Maps API,Web Programming,Accuracy Verification,Graphic Design,HTML,Product Roadmap,Mobile App Strategy,JavaScript,Shopify,List Building",United States,8000.0,Expert,Ongoing project
"Product Roadmap,Web Programming,Agile,JavaScript,Prototype,Mobile App Strategy,Technical Writing,Lean Startup",United States,8000.0,Expert,Ongoing project
"Adobe Illustrator,Graphic Design,Illustration,Drawing",United States,8000.0,Expert,One-time project
"JavaScript,Game Development,React",Australia,8000.0,Intermediate,One-time project
"mailbox,Information Security",Germany,8000.0,Expert,Ongoing project
"Instagram,Social Media Advertising,Facebook,Social Media Marketing,Facebook Advertising,Social Media Management",Pakistan,100.0,Expert,Complex project
App creation,Germany,8000.0,Entry level,One-time project
"Blender,Final Cut Pro,Adobe After Effects,VFX,Motion Graphics,Animation,Adobe Premiere Pro,Autodesk Maya",United States,8000.0,Expert,Ongoing project
"wildberries,TITAN Technology",Taiwan,120.0,Entry level,Complex project
"Executive Support,Google Suite,File Management,File Maintenance,Inventory Management,Light Project Management,Presentation,Form Completion,Product Listings,Virtual Assistance,Virtual Assistant,Data Entry,Email Communication,Research,Personal Administration,Communications,Scheduling",United States,8000.0,Entry level,Ongoing project
Marketing Strategy,Hong Kong,100.0,Intermediate,One-time project
"Oberlo,Shopify,dsers,AliExpress,dropshipping",Belgium,50.0,Expert,One-time project
English,United Kingdom,8000.0,Intermediate,One-time project
"Data Entry,Data Scraping,Data Mining",Ireland,100.0,Expert,Complex project
"CSS,Mapbox,JavaScript",United States,8000.0,Intermediate,One-time project
HTML,Mexico,8000.0,Expert,One-time project
"US English Dialect,Instruction Manual,User Manual,English,Writing,Technical Writing,Technical Documentation",Canada,8000.0,Expert,One-time project
Sewing,United States,8000.0,Entry level,One-time project
"Accuracy Verification,English,Data Entry,Company Research,Web Research,Marketing Research,Transaction Data Entry,investing,Cryptocurrency,Google Sheets",Canada,8000.0,Entry level,One-time project
"Infographics,Graphic Design,Adobe Illustrator",United States,8000.0,Intermediate,One-time project
"Local SEO,Retail,SaaS,Google My Business,Maps",Malaysia,8000.0,Intermediate,One-time project
"Animal Illustration,Character Design,Illustration",Netherlands,8000.0,Intermediate,One-time project
"TypeScript,Angular,API",Saudi Arabia,150.0,Expert,One-time project
"WordPress,JavaScript,PHP,HTML,CSS,Web Programming",United States,25.0,Intermediate,One-time project
"Audio Production,Sound Editing,Audio Editing,Sound Mixing,Audio Effects,Audiobook",United States,8000.0,Entry level,Ongoing project
Unreal Engine,United States,300.0,Intermediate,One-time project
"User Flows,Mockup,Journey Mapping,Mind Mapping",United States,8000.0,Expert,One-time project
"Vector Graphics,Animation,Adobe Illustrator,Illustration",South Africa,8000.0,Expert,Ongoing project
